contig,start,end,length,gene count,viral gene count,pattern
Seq_18,278157,292896,14740,8,5,hrbbbbrr
Seq_18,338815,351896,13082,5,2,phrrr
Seq_18,423196,471075,47880,19,13,brrrppheharhhihhbrr
Seq_18,646303,658895,12593,9,8,pphhafrhh
Seq_31,5600,50046,44447,24,21,pppphhafrhhihbhhrfahpppr
Seq_31,162777,174971,12195,7,4,phrrbbr
Seq_31,178380,183528,5149,4,1,prrr
Seq_31,229477,240289,10813,4,1,brrr
Seq_31,364919,394827,29909,11,5,prrrbbbbrrr
Seq_31,436432,466729,30298,14,11,phhafrhhhhhbrr
Seq_31,495089,534059,38971,13,10,hhbbrphhafrhr
